sku,category_name,category_id
MELA0035,Delist - Deal Dhamaka Sale,223
PSAU0017-1,Delist - Deal Dhamaka Sale,223
LGBS0087,Delist - Deal Dhamaka Sale,223
PSCY0067,Delist - Deal Dhamaka Sale,223
PCCG0085,Delist - Deal Dhamaka Sale,223
PSLD0066-1,Delist - Deal Dhamaka Sale,223
SSPM0242,Delist - Deal Dhamaka Sale,223
NSSN0030,Delist - Deal Dhamaka Sale,223
PSTZ0062,Delist - Deal Dhamaka Sale,223
DEALCDEG0148,Delist - Deal Dhamaka Sale,223
DEALNSNL0045,Delist - Deal Dhamaka Sale,223
DEALMALC0105,Flash Deal,222
NSSN0030,Delist - Deal Dhamaka Sale,223
DEALMALC0105,Delist - Deal Dhamaka Sale,223
DEALMALC0105,Delist - Deal Dhamaka Sale,223
CDPI0078-12,Delist - Deal Dhamaka Sale,223
DEALMALC0139,Flash Deal,222
DEALMALC0139,Delist - Deal Dhamaka Sale,223
DEALMALC0103,Flash Deal,222
DEALMALC0103,Delist - Deal Dhamaka Sale,223
NSBP0123,Delist - Deal Dhamaka Sale,223
CDFA0093,Delist - Deal Dhamaka Sale,223
DEALBEPS0061,Delist - Deal Dhamaka Sale,223
LGVM0038,Safayi Mart,234
OGMZ0002-5,Delist - Deal Dhamaka Sale,223
NSKO0031,Delist - Deal Dhamaka Sale,223
CDPI0058,Delist - Deal Dhamaka Sale,223
DEALNSSN0073,Bachat Bazar,31
DEALNSSN0073,Delist - Deal Dhamaka Sale,223
CD7P0016,Delist - Deal Dhamaka Sale,223
BEGY0115,Delist - Deal Dhamaka Sale,223
BEPS0021,Delist - Deal Dhamaka Sale,223
BEPS0017,Delist - Deal Dhamaka Sale,223
DDOS0030,Delist - Deal Dhamaka Sale,223
DDOS0030-8,Delist - Deal Dhamaka Sale,223
CCTL0034,Delist - Deal Dhamaka Sale,223
CCTL0042,Bachat Bazar,31
CCTL0042,Delist - Deal Dhamaka Sale,223
CCTL0050,Bachat Bazar,31
CCTL0050,Delist - Deal Dhamaka Sale,223
BSLE0123,Bachat Bazar,31
LGCK0153,Delist - Deal Dhamaka Sale,223
LGDX0166,Delist - Deal Dhamaka Sale,223
GSRP0034,Delist - Deal Dhamaka Sale,223
ANDS0042,Delist - Deal Dhamaka Sale,223
ANMG0058,Delist - Deal Dhamaka Sale,223
OGSS0046-5,Delist - Deal Dhamaka Sale,223
SNZA0453,Snacks,23
SNPC0455,Snacks,23
NSKO0153,Delist - Deal Dhamaka Sale,223
CD7P0016,Bachat Bazar,31
NSKO0032,Delist - Deal Dhamaka Sale,223
NSKO0019,Delist - Deal Dhamaka Sale,223
NSKO0001,Delist - Deal Dhamaka Sale,223
DDOS0030,Bachat Bazar,31
DDOS0030-8,Bachat Bazar,31
NSKL0098,Delist - Deal Dhamaka Sale,223
CCTL0034,Bachat Bazar,31
NSBP0123,Bachat Bazar,31
SNPC0469,Snacks,23
SNBT0496,Snacks,23
SNBT0497,Snacks,23
SNBT0498,Snacks,23
SNWP0500,Snacks,23
SNHL0473,Snacks,23
SNPB0236,Snacks,23
SNCD0258,Snacks,23
SNWP0501,Snacks,23
ANMG0178,Anaaj,17
OGSS0046-5,Bachat Bazar,31
OGSS0040-5,Bachat Bazar,31
CD7P0001-2,Pepsi Gala,225
CDPI0020,Pepsi Gala,225
CDPI0072-6,Pepsi Gala,225
CDPI0064-2,Pepsi Gala,225
CDMA0019-6,Pepsi Gala,225
CDMA0047-2,Pepsi Gala,225
CDSL0065-6,Pepsi Gala,225
CDPI0078-12,Pepsi Gala,225
CDPI0077-12,Pepsi Gala,225
CDMA0018,Pepsi Gala,225
CDMA0063-12,Pepsi Gala,225
CDMD0024,Pepsi Gala,225
CDMA0069-12,Pepsi Gala,225
CDMD0040,Pepsi Gala,225
CDMD0021-6,Pepsi Gala,225
CDMD0071-12,Pepsi Gala,225
CDMD0071-2,Pepsi Gala,225
CDPI0058,Pepsi Gala,225
CD7P0013,Pepsi Gala,225
CD7P0015-6,Pepsi Gala,225
CD7P0031-2,Pepsi Gala,225
CDSL0112-6,Pepsi Gala,225
CDMA0017,Pepsi Gala,225
CD7P0006-12,Pepsi Gala,225
CD7P0001-12,Pepsi Gala,225
CDSG0068-12,Pepsi Gala,225
CDSG0073-12,Pepsi Gala,225
CDSG0066-12,Pepsi Gala,225
OGMZ0073-5,Delist - Oil Bazar,224
OGMZ0017-5,Delist - Oil Bazar,224
OGMZ0069,Delist - Oil Bazar,224
OGMZ0002-5,Bachat Bazar,31
OGMZ0002-5,Delist - Oil Bazar,224
OGSS0040-5,Delist - Oil Bazar,224
CD7P0016,Pepsi Gala,225
CDSL0005-12,Pepsi Gala,225
OGMZ0066,Delist - Oil Bazar,224
OGMZ0067,Delist - Oil Bazar,224
OGMZ0016-5,Delist - Oil Bazar,224
OGSS0046-5,Delist - Oil Bazar,224
OGSS0050,Delist - Oil Bazar,224
OGSS0048,Delist - Oil Bazar,224
OGSS0049,Delist - Oil Bazar,224
OGSS0077-5,Delist - Oil Bazar,224
CDSL0067-24,Pepsi Gala,225
OGMZ0002-5,Oil aur Ghee,16
CDSL0067-24,Mashroobaat,67
CDSL0067-24,Pepsi Gala,225
NSSA0140,"Noodles, Sauces aur Meetha",61
NSSA0141,"Noodles, Sauces aur Meetha",61
LGMX0116,Safayi Mart,234
LGMX0117,Safayi Mart,234
LGMX0120,Safayi Mart,234
LGMX0119,Safayi Mart,234
LGMX0118,Safayi Mart,234
LGBE0194,Safayi Mart,234
LGBS0195,Safayi Mart,234
LGBS0087,Safayi Mart,234
LGBS0088,Safayi Mart,234
LGEX0093,Safayi Mart,234
LGBE0092,Safayi Mart,234
ANKC0001,Anaaj Bazaar,124
LGEX0094,Safayi Mart,234
LGBE0091,Safayi Mart,234
LGBS0098,Safayi Mart,234
LGSL0182,Safayi Mart,234
LGBE0175,Safayi Mart,234
LGSL0181,Safayi Mart,234
LGEX0177,Safayi Mart,234
LGBS0095,Safayi Mart,234
LGBS0090,Safayi Mart,234
OGSS0048,Bachat Bazar,31
LGEX0097,Safayi Mart,234
OGSS0049,Bachat Bazar,31
LGLM0103,Safayi Mart,234
LGLM0104,Safayi Mart,234
LGLM0100,Safayi Mart,234
LGLM0089,Safayi Mart,234
LGLM0101,Safayi Mart,234
LGLM0102,Safayi Mart,234
LGLM0108,Safayi Mart,234
LGLM0106,Safayi Mart,234
LGLM0105,Safayi Mart,234
LGLM0107,Safayi Mart,234
LGLM0109,Safayi Mart,234
LGLM0008,Safayi Mart,234
LGLM0178,Safayi Mart,234
OGSS0050,Bachat Bazar,31
LGLM0179,Safayi Mart,234
LGLM0180,Safayi Mart,234
PCCG0094,Safayi Mart,234
PCCG0080,Safayi Mart,234
PCCG0071,Safayi Mart,234
PCCG0085,Safayi Mart,234
PCCG0069,Safayi Mart,234
PCCG0068,Safayi Mart,234
PCCG0153,Safayi Mart,234
PCCG0121,Safayi Mart,234
PCCG0078,Safayi Mart,234
PCBT0035,Bachat Bazar,31
OGMZ0002-5,Delist - Oil Bazar,224
FSSK0035,Delist - Fashion & Electronics,253
PCCG0076,Safayi Mart,234
PCCG0083,Safayi Mart,234
PCCG0152,Safayi Mart,234
PCCG0082,Safayi Mart,234
PCCG0145,Safayi Mart,234
SSCG0006,Safayi Mart,234
PCCG0144,Safayi Mart,234
PCCG0093,Safayi Mart,234
PCCG0091,Safayi Mart,234
PCCG0077,Safayi Mart,234
PCCG0090,Safayi Mart,234
PCCG0089,Safayi Mart,234
PCCG0086,Safayi Mart,234
PCCG0079,Safayi Mart,234
PCCG0073,Safayi Mart,234
PCCG0092,Safayi Mart,234
PCCG0067,Safayi Mart,234
PCCG0088,Safayi Mart,234
SSPM0247,Safayi Mart,234
